Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
1980,Oscar Robertson   Player / Oly / CBB player,1040,25.7,7.5,9.5,0.485,,0.838,189.2,0.207,PG,1,0,1960,1974,14,12,2,1,NA,1,1,NA,11,NA,1,0,7,26710,7804,9887,0,1,20.6,10,2,5,1,1
2009,David Robinson   Player / Oly / CBB player,987,21.1,10.6,2.5,0.518,0.25,0.736,178.7,0.25,C,1,0,1989,2003,14,10,1,2,0,1,1,1,10,8,1,1,0,20790,10497,2441,0,1,20,12,2,4,3,2
2014,Guy Rodgers   Player / CBB player,892,11.7,4.3,7.8,0.378,,0.721,33.3,0.056,SG,1,0,1958,1970,12,4,4,0,NA,0,0,NA,0,NA,0,0,2,10415,3791,6917,0,1,6.2,6,1,4,0,0
2011,Dennis Rodman   Player,911,7.3,13.1,1.8,0.521,0.231,0.584,89.8,0.15,SF,1,0,1986,2000,14,2,5,5,0,0,0,2,2,8,0,7,0,6683,11954,1600,0,0,12.6,11,6,9,0,0
1975,Bill Russell   Player / Coach / Exec / Oly / CBB player,963,15.1,22.5,4.3,0.44,,0.561,163.5,0.193,C,1,0,1956,1969,13,12,1,11,NA,5,0,NA,11,NA,0,5,0,14522,21620,4100,1,1,17.3,13,12,13,1,1
2012,Ralph Sampson   Player / CBB player,456,15.4,8.8,2.3,0.486,0.172,0.661,20.1,0.071,PF,1,0,1983,1992,9,4,4,0,0,0,1,0,1,0,0,0,0,7039,4011,1038,0,1,6.2,4,1,1,0,0
1973,Dolph Schayes   Player / Coach / CBB player,996,18.5,12.1,3.1,0.38,,0.849,142.4,0.192,C,1,0,1949,1964,15,12,1,1,NA,0,0,NA,12,NA,0,1,0,18438,11256,3072,0,0,14.8,14,3,9,0,0
2018,Charlie Scott   Player / Oly / CBB player,717,20.7,4,4.9,0.448,0.253,0.773,41.4,0.078,SG,1,1,1970,1980,10,5,5,1,0,0,1,NA,2,NA,0,0,0,14837,2846,3515,0,1,7.4,5,1,2,1,1
1976,Bill Sharman   Player / Coach / Exec / CBB player,711,17.8,3.9,3,0.426,,0.883,82.8,0.178,SG,1,0,1950,1961,11,8,2,4,NA,0,0,NA,7,NA,0,0,0,12665,2793,2101,0,1,10.4,10,5,8,0,0
2009,John Stockton   Player / Oly / CBB player,1504,13.1,2.7,10.5,0.515,0.384,0.826,207.7,0.209,PG,1,0,1984,2003,19,10,1,0,0,0,0,0,11,5,0,0,9,19711,4051,15806,0,0,15.6,19,2,5,2,2
2000,Isiah Thomas   Player / Coach / Exec / CBB player / CBB coach,979,19.2,3.6,9.3,0.452,0.29,0.759,80.7,0.109,PG,1,0,1981,1994,13,12,1,2,1,0,0,0,5,0,0,0,1,18822,3478,9061,1,1,11.2,9,3,5,0,0
1996,David Thompson   Player / CBB player,592,22.7,4.1,3.3,0.505,0.255,0.781,63.3,0.156,SG,1,1,1975,1984,9,5,2,0,0,0,1,NA,3,0,0,0,0,13422,2446,1939,1,1,12.7,6,1,2,0,0
1985,Nate Thurmond   Player / CBB player,964,15,15,2.7,0.421,,0.667,78,0.104,C,1,0,1963,1977,14,7,3,0,NA,0,0,NA,0,NA,0,0,0,14437,14464,2575,0,0,9.9,9,2,6,0,0
1983,Jack Twyman   Player / CBB player,823,19.2,6.6,2.3,0.45,,0.778,75,0.138,SF,1,0,1955,1966,11,6,1,0,NA,0,0,NA,2,NA,0,0,0,15840,5424,1861,0,0,9.6,6,0,2,0,0
