Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
,Alvan Adams,988,14.1,7,4.1,0.498,0.133,0.788,73.5,0.13,PF,0,0,1975,1988,13,1,1,0,0,0,1,NA,0,0,0,0,0,13910,6937,4012,0,0,7.7,9,1,3,0,0
,Danny Ainge,1042,11.5,2.7,4,0.469,0.378,0.846,71.5,0.124,PG,0,0,1981,1995,14,1,4,2,0,0,0,0,0,0,0,0,0,11964,2768,4199,0,1,8.6,12,6,9,0,0
,Ricky Pierce,969,14.9,2.4,1.9,0.493,0.322,0.875,72.2,0.146,SG,0,0,1982,1998,16,1,8,0,0,0,0,0,0,0,0,0,0,14467,2296,1826,0,1,9.4,12,0,2,0,0
,Shareef Abdur-Rahim,830,18.1,7.5,2.5,0.472,0.297,0.81,71.2,0.118,SF,0,0,1996,2008,12,1,4,0,0,0,0,0,0,0,0,0,0,15028,6239,2109,0,1,9.7,1,0,0,1,1
,Larry Johnson,707,16.2,7.5,3.3,0.484,0.332,0.766,69.7,0.13,PF,0,0,1991,2001,10,2,2,0,0,0,1,0,1,0,0,0,0,11450,5300,2298,1,1,10.1,6,1,2,0,0
,Maurice Lucas,1021,14.6,9.1,2.4,0.471,0.143,0.765,69,0.11,C,0,1,1974,1988,14,5,8,1,0,0,0,0,1,2,0,0,0,14857,9306,2498,0,0,8.7,11,1,6,0,0
,Christian Laettner,868,12.8,6.7,2.6,0.48,0.261,0.82,64.9,0.121,PF,0,0,1992,2005,13,1,6,0,0,0,0,0,0,0,0,0,0,11121,5806,2224,1,1,11.6,6,0,1,1,1
,Derrick Coleman,781,16.5,9.3,2.5,0.447,0.295,0.769,64.3,0.119,PF,0,0,1990,2005,15,1,4,0,0,0,1,0,2,0,0,0,0,12884,7232,1985,0,1,9.9,7,0,0,0,0
,Bob Boozer,874,14.8,8.1,1.4,0.462,0,0.761,64.2,0.121,SF,0,0,1960,1971,11,1,6,1,0,0,0,0,0,0,0,0,0,12964,7119,1237,0,1,11.6,6,2,3,0,0
,Anfernee Hardaway,704,15.2,4.5,5,0.458,0.316,0.774,61.9,0.125,SF,0,0,1993,2008,14,4,4,0,0,0,0,0,3,0,0,0,0,10684,3146,3525,0,1,14.4,8,1,2,1,1
,Dale Ellis,1209,15.7,3.5,1.4,0.479,0.403,0.784,84.7,0.117,SF,0,0,1983,2000,17,1,6,0,0,0,0,0,1,0,0,0,0,19004,4201,1746,0,1,10.8,10,0,1,0,0
,Jerome Kersey,1153,10.3,5.5,1.9,0.465,0.201,0.69,69.5,0.119,SF,0,0,1984,2001,17,0,6,1,0,0,0,0,0,0,0,0,0,11825,6339,2134,0,0,8.8,15,3,4,0,0
,John Drew,739,20.7,6.9,1.7,0.47,0.175,0.748,68.9,0.152,PF,0,0,1974,1985,11,2,2,0,0,0,0,0,0,0,0,0,0,15291,5088,1224,0,0,10.6,5,0,0,0,0
,Dick Barnett,971,15.8,2.9,2.8,0.456,,0.761,68.7,0.114,SG,0,0,1959,1974,14,1,3,2,0,0,0,NA,0,NA,0,0,0,15358,2812,2729,0,0,8,11,4,7,0,0
,Paul Westphal,823,15.6,1.9,4.4,0.504,0.275,0.82,67.7,0.155,PF,0,0,1972,1984,12,5,4,1,0,0,0,NA,4,0,0,0,0,12809,1580,3591,0,1,10.5,9,2,6,0,0
,Mark Aguirre,923,20,5,3.1,0.484,0.312,0.741,67.8,0.117,SF,0,0,1981,1994,13,3,3,2,0,0,0,NA,0,0,0,0,0,18458,4578,2871,0,1,9,9,2,4,0,0
,Gus Williams,825,17.1,2.7,5.6,0.461,0.238,0.756,67.9,0.127,SG,0,0,1975,1987,11,2,4,1,0,0,0,NA,2,0,0,0,0,14093,2222,4597,0,1,11.6,10,2,4,0,0
,Reggie Theus,1026,18.5,3.3,6.3,0.471,0.252,0.826,66.9,0.093,SG,0,0,1978,1991,13,2,5,0,0,0,0,NA,0,0,0,0,0,19015,3349,6453,0,0,9.2,4,0,0,0,0
,Dan Roundfield,813,14.3,9.2,2,0.482,0.111,0.735,66.5,0.132,PF,0,1,1975,1987,12,3,4,0,0,0,0,NA,1,5,0,0,0,11657,7502,1655,0,0,9.1,8,0,0,0,0
,Zydrunas Ilgauskas,843,13,7.3,1.1,0.476,0.31,0.78,66.3,0.139,C,0,0,1997,2011,13,2,2,0,0,0,0,0,0,0,0,0,0,10976,6191,955,0,0,9.4,7,2,3,0,0
,Caldwell Jones,1299,7.9,8.2,1.4,0.474,0.123,0.756,66.2,0.091,C,0,1,1973,1990,17,1,8,0,0,0,0,NA,0,2,0,0,0,10241,10685,1800,0,0,8.1,13,3,5,0,0
,Terrell Brandon,724,13.8,3,6.1,0.448,0.355,0.873,65.9,0.147,PG,0,0,1991,2002,11,2,3,0,0,0,0,0,0,0,0,0,0,9994,2174,4407,0,0,12.7,7,0,1,0,0
,Eddie Johnson,675,15.1,2.3,5.1,0.476,0.326,0.791,41,0.098,SG,0,0,1977,1987,11,2,3,0,0,0,0,NA,0,2,0,0,0,10163,1522,3436,0,0,8.2,7,0,1,0,0
,Baron Davis,835,16.1,3.8,7.2,0.409,0.32,0.711,63.1,0.106,PG,0,0,1999,2012,13,2,6,0,0,0,0,0,2,0,0,0,0,13447,3183,6025,0,1,8.9,6,0,0,0,0
,Richard Hamilton,921,17.1,3.1,3.4,0.449,0.346,0.852,62.8,0.102,SG,0,0,1999,2013,14,3,3,1,0,0,0,0,0,0,0,0,0,15708,2852,3125,1,1,8.1,9,2,6,0,0
,Archie Clark,725,16.3,3.3,4.8,0.48,,0.769,64.7,0.132,SG,0,0,1966,1976,11,2,5,0,0,0,0,NA,1,0,0,0,0,11819,2427,3498,0,0,11.4,10,1,1,0,0
,Billy Knight,821,16.9,5.3,2.3,0.507,0.284,0.827,63.9,0.129,SF,0,1,1974,1985,11,2,5,0,0,0,0,NA,1,0,0,0,0,13901,4377,1862,0,1,10.7,5,1,1,0,0
,Fat Lever,752,13.9,6,6.2,0.447,0.31,0.771,61.2,0.123,SG,0,0,1982,1994,11,2,3,0,0,0,0,0,1,1,0,0,0,10433,4523,4696,0,0,10.4,8,0,1,0,0
,Jeff Mullins,804,16.2,4.3,3.8,0.463,,0.814,62.8,0.123,SG,0,0,1964,1976,12,3,2,1,0,0,0,NA,0,0,0,0,0,13017,3427,3023,0,1,10,10,2,6,0,0
